sub_ID,test_age,condition,order,training,carrot_condition,carrot_type,carrot_selection,carrot_target,carrot,hat_condition,hat_type,hat_selection,hat_target,hat,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies
080515_03,4.640657084,B,"SI, DCCS, Quantifier",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
080515_04,4.265571526,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,1,2,0,none,control_none,1,1,1,some,implicature,2,1,0,all,control_all,2,3,0
080515_05,3.589322382,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080515_06,4.087611225,C,"Quantifier, DCCS, SI",1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
080515_07,4.813141684,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
080515_08,3.772758385,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0
080515_09,3.874058864,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,3,2,0,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080515_10,3.389459274,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,2,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,2,2,1
080515_11,3.901437372,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,2,1,0
080515_12,3.367556468,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
080515_13,3.47980835,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
080515_14,3.052703628,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,2,3,0,none,control_none,2,1,0,some,implicature,3,2,0,all,control_all,2,3,0,none,control_none,2,1,0,all,control_all,3,2,0,some,implicature,2,2,1,all,control_all,3,1,0,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,1,3,0,none,control_none,2,3,0,some,implicature,1,3,0,all,control_all,1,2,0,none,control_none,2,1,0
080515_15,4.982888433,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
080515_16,4.265571526,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,3,0,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,2,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,1,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,2,1,0
080615_01,3.282683094,A,"Quantifier, DCCS, SI",1,all,control_all,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,1,2,0,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,2,3,0,all,control_all,3,2,0,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,2,2,1
080615_02,3.307323751,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080615_03,3.258042437,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,2,1,0,some,implicature,3,2,0,all,control_all,3,2,0,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,2,3,0,some,implicature,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,2,3,0,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
080615_04,3.195071869,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080615_05,3.101984942,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,3,0,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080615_06,4.246406571,A,"Quantifier, DCCS, SI",1,all,control_all,2,3,0,some,implicature,3,2,0,none,control_none,2,1,0,some,implicature,2,3,0,all,control_all,2,1,0,none,control_none,1,1,1,some,implicature,1,2,0,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,2,3,0,all,control_all,3,2,0,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1
